"","KIDS","SNAP","FINC","NPL","AGE","FERH"
"146",1,"No",205080,3,43.3333333333333,"No"
"147",2,"No",107000,4,21.5,"No"
"148",1,"No",182030,3,39.6666666666667,"No"
"149",1,"No",195000,3,31.6666666666667,"No"
"150",1,"No",270000,3,40.3333333333333,"No"
"151",1,"Yes",6900,3,23.6666666666667,"No"
"152",2,"No",70200,4,22.75,"No"
"153",1,"No",172000,4,37,"No"
"154",3,"No",123400,5,20.8,"No"
"155",2,"Yes",105000,4,25.25,"No"
"156",1,"No",62000,3,23.6666666666667,"No"
"157",1,"No",145500,3,42,"No"
"158",1,"No",367190,3,39,"No"
"159",3,"Yes",1000,4,8.75,"Yes"
"160",1,"No",70520,3,47.6666666666667,"No"
"161",3,"No",78000,5,20.6,"No"
"162",2,"No",114400,4,27,"No"
"163",1,"No",113400,3,23,"No"
"164",2,"No",66800,4,32,"No"
"165",2,"No",71700,4,35,"No"
"166",1,"No",83100,4,37.25,"No"
"167",2,"No",173200,4,27.5,"No"
"168",1,"No",176800,3,23,"Yes"
"169",2,"No",131200,4,17.5,"Yes"
"170",1,"No",205000,3,34,"No"
"171",1,"Yes",164000,5,26,"No"
"172",5,"Yes",16000,6,12.1666666666667,"No"
"173",2,"No",140000,4,29.5,"No"
"174",2,"No",328300,5,45.8,"No"
"175",1,"No",126000,3,38.3333333333333,"No"
"176",2,"No",195750,4,18.25,"No"
"177",2,"No",67000,3,18.3333333333333,"No"
"178",1,"No",198650,4,34.75,"No"
"179",3,"No",127000,5,17.8,"No"
"180",2,"No",185000,4,23.25,"No"
"181",1,"No",58000,3,25,"Yes"
"182",1,"No",50500,4,30.75,"No"
"183",2,"No",176200,4,31,"No"
"184",1,"No",102000,3,31.6666666666667,"No"
"185",1,"No",51000,3,34.3333333333333,"No"
"186",2,"No",278000,4,18.25,"No"
"187",2,"No",150000,4,32.5,"No"
"188",1,"No",37500,2,34.5,"No"
"189",2,"No",30000,3,21.3333333333333,"No"
"190",3,"No",65400,4,17.75,"No"
"191",1,"No",72600,4,29.25,"No"
"192",2,"No",112000,4,23,"No"
"193",2,"No",189000,4,16,"Yes"
"194",1,"No",115000,3,32.3333333333333,"No"
"195",2,"No",100600,5,34.2,"No"
"196",2,"No",164000,4,24.5,"No"
"197",2,"No",222000,4,26.5,"No"
"198",1,"Yes",13000,2,16,"No"
"199",1,"No",169000,4,31.75,"No"
"200",1,"No",102830,4,29,"No"
"201",2,"No",430000,4,22.75,"No"
"202",1,"No",74200,5,33.4,"No"
"203",1,"No",1e+05,3,29,"No"
"204",1,"No",125000,3,39.6666666666667,"No"
"205",2,"No",121000,4,24.25,"No"
"206",1,"No",140000,3,21,"Yes"
"207",2,"No",127900,4,28,"No"
"208",2,"No",82000,4,17.25,"No"
"209",1,"No",77400,4,38.75,"No"
"210",2,"No",138000,5,24.4,"No"
"211",2,"No",175000,4,21.5,"No"
"212",1,"No",53600,3,19.6666666666667,"Yes"
"213",1,"No",18800,3,23.3333333333333,"No"
"214",1,"No",81000,2,20.5,"No"
"215",3,"No",110360,5,18.2,"No"
"216",2,"No",120000,4,29.25,"No"
"217",1,"No",169100,3,25,"No"
"218",1,"No",233410,4,33.25,"Yes"
"219",1,"No",189700,4,33.5,"No"
"220",3,"No",93000,5,25,"No"
"221",1,"Yes",18100,2,35.5,"No"
"222",1,"No",13600,2,16,"No"
"223",1,"No",285000,3,23,"No"
"224",1,"No",260000,3,20.6666666666667,"Yes"
"225",2,"Yes",55200,5,21.6,"No"
"226",1,"No",115300,6,32,"No"
